Station,Count
YNR,2238
YMR,1596
YMC,1463
YHB,1169
YHH,1097
YFT,929
YUF,915
YHL,582
YML,528
YTP,476
YNM,396
B207,395
FLWY,388
YDD,274
LKWY,256
B206,255
YPP,201
B950,184
YJC,142
B208,141
B945,133
H17A,121
B944,118
IMW,35
YPK,32
YNE,29
YHR,14
YEE,13
LOHW,11
MOOW,9
YMP,8
SNOW,2
TPAW,1
RLMT,1
