time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2014-06-04T23:53:52.700Z,44.7813,-110.7693,3.1,1.5,Ml,,190.8,0.05389892,0.13,uu,uu60072112,2014-06-05T15:38:26.748Z,"22 km SSW of Mammoth, Wyoming",earthquake,0.7,1.2,0.4,2,reviewed,uu,uu
2014-06-04T22:17:25.500Z,44.7352,-110.797,8,1,Ml,,140.4,0.06288207,0.07,uu,uu60072102,2014-06-05T18:36:14.329Z,"25 km ENE of West Yellowstone, Montana",earthquake,0.5,1.2,0.3,2,reviewed,uu,uu
2014-06-04T21:22:31.600Z,44.787,-110.7647,9.2,3.4,Ml,,104.4,0.06288207,0.23,uu,uu60072087,2014-08-30T17:03:01.000Z,"21 km SSW of Mammoth, Wyoming",earthquake,0.5,0.7,0.3,5,reviewed,uu,uu
2014-06-04T21:21:25.800Z,44.7853,-110.7747,1.9,0.8,Md,,226.8,0.05389892,0.03,uu,uu60072082,2014-06-05T18:47:49.521Z,"22 km SSW of Mammoth, Wyoming",earthquake,0.9,31.6,0.3,3,reviewed,uu,uu
2014-06-04T21:14:49.300Z,44.8205,-110.744,7.7,1.3,Ml,,259.2,0.08084838,0.03,uu,uu60072072,2014-06-05T18:45:39.454Z,"17 km S of Mammoth, Wyoming",earthquake,1.4,0.6,0.3,2,reviewed,uu,uu
2014-06-04T20:12:49.000Z,44.7922,-110.7648,4.7,0.8,Md,,234,0.06288207,0.08,uu,uu60072047,2014-06-05T18:56:34.595Z,"21 km SSW of Mammoth, Wyoming",earthquake,2.8,1.8,0.1,5,reviewed,uu,uu
2014-06-04T20:00:06.800Z,44.7917,-110.7713,5.3,1.8,Ml,,205.2,0.05389892,0.12,uu,uu60072042,2014-06-05T15:42:01.794Z,"21 km SSW of Mammoth, Wyoming",earthquake,0.7,1,0.4,3,reviewed,uu,uu
2014-06-04T17:56:47.000Z,44.7893,-110.7622,4.8,2.1,Ml,,104.4,0.06288207,0.17,uu,uu60071987,2014-06-05T15:16:11.540Z,"21 km SSW of Mammoth, Wyoming",earthquake,0.5,0.6,0.4,3,reviewed,uu,uu
2014-06-04T17:49:10.800Z,44.7982,-110.7612,5.2,1,Md,,244.8,0.06288207,0.09,uu,uu60071982,2014-06-05T19:40:14.921Z,"20 km SSW of Mammoth, Wyoming",earthquake,1.8,1.3,0.3,3,reviewed,uu,uu
2014-06-04T17:40:29.000Z,44.8012,-110.7713,5.3,1.4,Ml,,212.4,0.05389892,0.13,uu,uu60071977,2014-06-05T15:11:31.478Z,"20 km SSW of Mammoth, Wyoming",earthquake,0.7,1.4,0.4,2,reviewed,uu,uu
