evid,event_lat,event_lon,event_depth,magnitude,magnitude_type,origin_time
60052687,44.7375,-110.7948333,8.17,1.06,l,1390380617.59
60052692,44.7353333,-110.80816670000002,5.2,0.73,l,1390385222.41
60052697,44.7355,-110.79883329999998,8.31,1.47,l,1390387086.92
60052702,44.7305,-110.80716670000001,5.12,1.38,l,1390387476.26
60052717,44.7363333,-110.80216670000001,7.04,0.96,l,1390392084.45
60052737,44.727,-110.80466670000001,7.74,1.91,l,1390399934.64
60052832,44.7266667,-110.8005,4.71,0.82,d,1390456256.64
60052837,44.7285,-110.80033329999999,8.42,1.72,l,1390461898.82
60053207,44.7466667,-110.78033329999998,6.22,1.38,l,1390877069.88
60053832,44.756666700000004,-110.775,8.04,1.41,l,1391144285.09
60053837,44.7491667,-110.78,6.7,1.13,l,1391144327.9
60054007,44.734333299999996,-110.8025,5.69,0.67,l,1391238952.56
60054042,44.7423333,-110.77583329999999,7.55,1.78,l,1391281404.46
60054147,44.728666700000005,-110.80316670000002,7.77,2.68,l,1391396487.97
60054162,44.8471667,-110.7985,3.52,1.07,l,1391403539.26
60054197,44.7336667,-110.80616670000002,6.94,0.89,l,1391435666.89
60054677,44.7495,-110.78483329999999,8.32,0.49,d,1391767020.67
60054707,44.7411667,-110.7835,6.84,1.45,l,1391795956.36
60054857,44.7523333,-110.79216670000001,7.37,1.65,l,1391948652.47
60054867,44.7633333,-110.78316670000001,10.79,0.96,l,1391951297.04
60054877,44.7385,-110.79333329999999,4.5,1.11,l,1391955683.74
60054882,44.7583333,-110.78133329999999,8.87,1.65,l,1391959923.53
60054917,44.7428333,-110.78833329999999,4.67,0.97,l,1391980298.63
60054922,44.744833299999996,-110.79,8.47,1.78,l,1391982294.83
60054927,44.7543333,-110.77766670000001,10.07,1.54,l,1391983269.76
60054937,44.7385,-110.794,4.56,0.73,l,1391984627.62
60054957,44.752166700000004,-110.795,5.67,0.99,l,1391988073.6
60054962,44.74100000000001,-110.79366670000002,4.06,0.97,l,1391988533.62
60054967,44.7548333,-110.7945,7.42,1.19,l,1391989550.78
60054972,44.7558333,-110.7885,7.53,1.57,l,1391990480.98
60055007,44.765666700000004,-110.72133329999998,0.49,-9.99,h,1392011557.84
