Evid,EqLat,EqLon,EqDepSL,EqOt,CatMag,CatMagType,Date,Event-Mean-YPML,Event-Median-YPML,Event-Mean-YPML-S,Event-Median-YPML-S
60001482.0,44.3985,-111.0373333,11.91,1350271665.0200005,1.76,l,2012-10-15 03:27:45.020000+00:00,1.923500323628475,1.9927104934743245,1.901944726295141,1.973783250374324
60001517.0,44.3966667,-111.0421667,12.02,1350272509.7799988,1.89,l,2012-10-15 03:41:49.779999+00:00,2.103511346087645,2.103511346087645,2.080641571637645,2.080641571637645
60001522.0,44.396,-111.043,10.17,1350272720.5599997,2.76,l,2012-10-15 03:45:20.560000+00:00,2.743008752315536,2.6523649891067813,2.735246004682203,2.7358953157435835
60001530.0,44.7633333,-111.0868333,8.5,1378121389.8799973,0.77,l,2013-09-02 11:29:49.879997+00:00,0.6968055160533047,0.6968055160533047,0.6739357416033046,0.6739357416033046
60001545.0,44.5686667,-110.7316667,7.05,1378290520.5599976,0.62,l,2013-09-04 10:28:40.559998+00:00,0.5578828105411046,0.5117723693039765,0.5421553072161046,0.4794973044752056
60001557.0,44.3918333,-111.0478333,8.91,1350273735.4699993,3.1,l,2012-10-15 04:02:15.469999+00:00,3.0937325297397877,3.1265635143938817,3.114417232579787,3.1246538205938816
60001572.0,44.394,-111.0556667,7.07,1350274519.3400002,1.48,l,2012-10-15 04:15:19.340000+00:00,1.6529567932138152,1.6529567932138152,1.630087018763815,1.630087018763815
60001577.0,44.3991667,-111.037,14.55,1350274652.3600006,1.69,l,2012-10-15 04:17:32.360001+00:00,1.927329444876929,1.927329444876929,1.904459670426929,1.904459670426929
60001620.0,44.772,-110.9903333,4.83,1379043304.21,1.21,l,2013-09-13 03:35:04.210000+00:00,1.1341706093844357,1.1341706093844357,1.111300834934435,1.111300834934435
60001625.0,44.7403333,-110.7791667,6.46,1379076957.949997,2.85,l,2013-09-13 12:55:57.949997+00:00,2.6617532497955763,2.6617532497955763,2.640716711595576,2.640716711595576
60001630.0,44.567,-110.82,9.1,1379058263.67,1.8,l,2013-09-13 07:44:23.670000+00:00,1.6838878246111246,1.6282250321306382,1.6825405953311248,1.647161586113865
60001645.0,44.5856667,-110.8301667,7.4,1379243460.86,3.24,l,2013-09-15 11:11:00.860000+00:00,3.0317911152447863,3.055600470299943,3.034838889419786,3.0036889154999438
60001650.0,44.619,-110.7988333,1.56,1379264845.209999,2.57,l,2013-09-15 17:07:25.209999+00:00,2.3010240344129,2.323706836644357,2.2852965310879005,2.2717952818443568
60001680.0,44.5566667,-110.8205,6.05,1379243910.2299995,2.09,l,2013-09-15 11:18:30.230000+00:00,1.6946693563145652,1.6946693563145652,1.7236346791145651,1.7236346791145651
60001717.0,44.3961667,-111.0436667,12.51,1350368381.9799995,1.55,l,2012-10-16 06:19:41.980000+00:00,1.7730933658591597,1.7730933658591597,1.7502235914091595,1.7502235914091595
60001720.0,44.5726667,-110.8193333,5.67,1379058578.3400002,1.31,l,2013-09-13 07:49:38.340000+00:00,1.2273858645614435,1.2353487012878612,1.2261792514114436,1.222428245426515
60001790.0,44.5813333,-110.8265,4.39,1379243188.17,0.8,l,2013-09-15 11:06:28.170000+00:00,0.6997325607057366,0.5980850078179696,0.6793991208724033,0.5864981151046265
60001797.0,44.3946667,-111.0433333,12.87,1350426515.1599998,1.59,l,2012-10-16 22:28:35.160000+00:00,1.8145092822723443,1.8145092822723443,1.7916395078223444,1.7916395078223444
60001840.0,44.5531667,-110.8081667,4.67,1379059191.4799995,0.75,l,2013-09-13 07:59:51.480000+00:00,0.7749092060108191,0.7749092060108191,0.7538726678108192,0.7538726678108192
60001850.0,44.5826667,-110.8298333,1.81,1379157476.2299995,0.82,l,2013-09-14 11:17:56.230000+00:00,0.6657077177385917,0.6657077177385917,0.6446711795385918,0.6446711795385918
60001865.0,44.742,-110.7775,4.1,1379163337.1100006,1.05,l,2013-09-14 12:55:37.110001+00:00,0.7803098733611913,0.7803098733611913,0.7592733351611913,0.7592733351611913
60001960.0,44.5563333,-110.824,2.04,1379244257.7199993,0.56,l,2013-09-15 11:24:17.719999+00:00,0.5661411155413536,0.5661411155413536,0.5451045773413535,0.5451045773413535
60002002.0,44.2703333,-110.6348333,6.16,1350629444.9099998,2.08,l,2012-10-19 06:50:44.910000+00:00,2.0530114047300763,2.0613009105932263,2.0120946204967427,2.0378297012434943
