event_identifier,arrival_identifier,network,station,channel,location_code,source_latitude,source_longitude,source_receiver_distance_km,source_receiver_back_azimuth,source_depth_km,noise_variance,noise_minimum_value,noise_maximum_value,signal_variance,signal_minimum_value,signal_maximum_value,noise_dominant_frequency,noise_dominant_amplitude,signal_dominant_frequency,signal_dominant_amplitude,magnitude_type,magnitude,avg_noise_1.00,avg_signal_1.00,avg_noise_2.00,avg_signal_2.00,avg_noise_3.00,avg_signal_3.00,avg_noise_4.00,avg_signal_4.00,avg_noise_5.00,avg_signal_5.00,avg_noise_6.00,avg_signal_6.00,avg_noise_7.00,avg_signal_7.00,avg_noise_8.00,avg_signal_8.00,avg_noise_9.00,avg_signal_9.00,avg_noise_10.00,avg_signal_10.00,avg_noise_11.00,avg_signal_11.00,avg_noise_12.00,avg_signal_12.00,avg_noise_13.00,avg_signal_13.00,avg_noise_14.00,avg_signal_14.00,avg_noise_15.00,avg_signal_15.00,avg_noise_16.00,avg_signal_16.00,avg_noise_17.00,avg_signal_17.00,avg_noise_18.00,avg_signal_18.00
60499372,3930509,WY,YPM,EHZ,01,44.7513333,-111.0893333,20.37941179660023,300.9720620251479,12.5,5.656926865376946e-05,-0.01696916270268834,0.016315881390823336,0.0008233308405501903,-0.06345789847081847,0.07396987711441569,4.0,0.0006285210326341642,4.0,0.0014457293696308853,l,0.44,0.000677319723558473,0.001321154884662895,0.0007896959481822042,0.00915511475880035,0.001354139626678035,0.011546931234530516,0.0014314889431898308,0.012212721373303674,0.000766328385374582,0.008506424508093236,0.0005503148171185786,0.007145818580190951,0.0004613640593229601,0.006670696743696431,0.00041842615945252893,0.0064307040805404595,0.00040300077651194826,0.006050456646067793,0.00036866973006196766,0.005568724267770234,0.00031658906502545853,0.0050703497587094686,0.0002712669804268469,0.00443562029289599,0.00025209953837626825,0.0037507137291606573,0.0002527556429350275,0.0030981751866541625,0.0002641287827530022,0.002533312078335749,0.00028123224047023527,0.002081704440082467,0.000292418664220231,0.0017338947011498122,0.0002933750699770623,0.0014638174581770242
60499372,3930524,WY,MCID,EHZ,01,44.7513333,-111.0893333,62.7802131572255,6.760446840088065,12.5,1.6114902480696208e-05,-0.006684349579867094,0.01295600876073652,0.00047143104411029215,-0.05283031771834999,0.07970502323869458,2.0,0.0004519189782383778,8.0,0.0013126095876160738,l,0.44,0.0009063628898067259,0.002218741156694548,0.0007379713989368948,0.006594647687747198,0.0006477191036576226,0.007778640431871227,0.0005790158294519351,0.004984910574154527,0.0004239545243947818,0.0043453073699011215,0.0003887569050394417,0.0045833408641197965,0.000331143120390821,0.005494817061976451,0.00036044011143509163,0.005912993691666414,0.00035050108831479333,0.005600671123631797,0.0003041479595988888,0.0048830542354278824,0.0002464097314420861,0.004035704244945512,0.0001930015942300877,0.003221144808558259,0.00015134678558397202,0.0025161311016395666,0.00012000850305394099,0.0019464489144208471,9.704133450143731e-05,0.001503912808653871,8.089601659003092e-05,0.0011663312895067517,6.97316713163768e-05,0.0009105834235090127,6.119262731697062e-05,0.0007171118467634053
60499377,3930594,WY,YDC,EHZ,01,44.7526667,-111.0821667,13.366977539913407,68.91397113639329,11.71,0.0006115254284117827,-0.04682202603572709,0.05298580933939996,0.0013359411146569894,-0.10561558914245334,0.12499441588323192,7.0,0.0010916182633532725,9.0,0.002389485192322742,l,0.35,7.945172932985874e-05,0.0006895374149356606,0.00046575697984534755,0.0009748027585633236,0.00043065249035170326,0.0015757446214665707,0.0008117109547894244,0.0024593136648986373,0.0012902222056953825,0.003715224505857919,0.0031385138448580276,0.00839242120393245,0.004217079691839844,0.01262684060220992,0.003953310727505922,0.013540971658987959,0.003248967974657561,0.012554385002050248,0.002606452574758741,0.011516093873930044,0.0020858053939382393,0.010078712342502396,0.0016889418599844554,0.008510419385857837,0.0013947790321366478,0.007126491995494351,0.0011650702134347166,0.00594598002795498,0.0009868645870781162,0.004964384094239025,0.0008339977367983215,0.004181634150258995,0.0006999808053180463,0.003555880353657532,0.0005850414889694056,0.0030338330545828817
60499377,3930604,WY,YWB,EHZ,01,44.7526667,-111.0821667,16.384259974585557,5.175115347439146,11.71,0.0001317124270896314,-0.03136408029881752,0.0215333491664184,0.023319148405508264,-0.4469202041691882,0.4254871589978713,4.0,0.0035422585357857933,4.0,0.010146386924806525,l,0.35,0.0011255727396124373,0.0038687062148008594,0.0032073027912518843,0.023074019560424264,0.003359959568536456,0.03833565521066262,0.0029192850048600323,0.058191154587981554,0.0018360626832224368,0.06442126216279222,0.0015400629015768547,0.04995310444551733,0.0014489852615045267,0.039941802786621676,0.001347201496345811,0.03748624329118436,0.0012822309187358863,0.03482977832026715,0.001220744636688416,0.029332588460799405,0.0011233420597656285,0.023220769364306476,0.0010279980616678837,0.017882903331564892,0.0009170958804055404,0.01362596591673154,0.0007983916308382935,0.010376683426185033,0.0006870323718136295,0.007942641778027976,0.0005862415837031023,0.006130511235917635,0.0004969654707826167,0.00478057781546713,0.0004208246415622046,0.0037696265395862913
60499377,3930639,WY,MCID,EHZ,01,44.7526667,-111.0821667,62.997176156002396,7.256913239828435,11.71,3.046578542463871e-05,-0.009568112317541469,0.010848895520407444,0.00032429457654878293,-0.04682940194293226,0.061705175963258266,3.0,0.0004556410213944321,8.0,0.0011053138685914953,l,0.35,0.0005490524746760278,0.001152783210538972,0.0010856445040211967,0.006785785757763814,0.001185842594721381,0.00679384430678922,0.0005402063161472088,0.00420821903445995,0.0003434075422907715,0.0034499842916912776,0.00026833137828679226,0.003758474392366259,0.00025824891152197816,0.004658114164142992,0.00031190434667208427,0.004901891539853567,0.00030841516684343087,0.004514016280175702,0.0002685521284654233,0.003861122482154123,0.00022178718283578808,0.0031445373539532016,0.00018167347485875142,0.002481676034442714,0.00015158709948081357,0.001925909340683867,0.0001272278334532884,0.0014858871666269442,0.00010669605308442917,0.001148635922303279,8.970484543494425e-05,0.0008925744862579565,7.591574206051871e-05,0.0006988894209440721,6.470136180160811e-05,0.0005523897405746013
60499382,3929929,WY,YDC,EHZ,01,44.7535,-111.0896667,12.849088573418209,67.58021590640874,11.45,0.0006438326736542878,-0.046396022640965484,0.04286763809445266,0.0018663723930714615,-0.12045759103732212,0.116070326025067,8.0,0.0012483020783280068,8.0,0.002340676842427374,l,0.37,0.0002383120266360826,0.0009615246525678096,0.00038751706799037644,0.001304822200633904,0.00038228240902279356,0.0018859653346818689,0.0005004372640773155,0.002369044531706804,0.0010376031267967088,0.003856000998507522,0.003264018998427237,0.011169918551205596,0.004787102037516079,0.016056066902464305,0.004601247459846052,0.015996655246222815,0.003636937800758397,0.014457387021878324,0.0026646497863118015,0.0129913688362518,0.0019301619107278509,0.011543854798286802,0.0014350003810009774,0.009989674172677276,0.00110441701318337,0.008381064875509724,0.0008701286460519213,0.006910716004468826,0.0006985884606781996,0.00566064897283849,0.0005699673358097386,0.004635578140161732,0.00047042086411134735,0.0038181385893074704,0.0003918738969103901,0.003165683119433289
60499382,3929944,WY,YWB,EHZ,01,44.7535,-111.0896667,16.433756622710167,3.083379016610735,11.45,0.00016826673689882948,-0.028943359321850458,0.034986820596714346,0.025807618847210532,-0.49594992083777684,0.42215911581165516,3.0,0.003819182657309724,4.0,0.010786336425375347,l,0.37,0.0013320618715600171,0.004974224819070687,0.003505104057261403,0.024514377172049295,0.0037196595316213352,0.042627045171736135,0.00228750640955392,0.061530112682886946,0.0016516432854046207,0.06737687126006342,0.001637059016552177,0.051584494650050605,0.0021775707713859883,0.04117550658299036,0.0020600804754721588,0.04033067875764084,0.0016436878555799665,0.03794797601484959,0.0012422894563005038,0.03210738450846583,0.0009488502763556291,0.025660230171587726,0.0007595543377435045,0.01987591173547114,0.0006315923824577681,0.015195426189583468,0.000538558931656148,0.011595136328134071,0.0004587366013483538,0.00888847699958336,0.000389212619657287,0.006866150387587516,0.00033003713882303053,0.005352935860783129,0.00028080825376947376,0.004216080063379408
60499382,3929959,WY,YPM,EHZ,01,44.7535,-111.0896667,20.52634399764847,301.51151896192613,11.45,0.0003482256559854842,-0.03188731570811086,0.048846464220525326,0.0006674419238762386,-0.08137986819689567,0.06977506333489082,4.0,0.001326173578094831,4.0,0.00175325463945545,l,0.37,0.0005653096142006366,0.0035900488451849986,0.0018042892640113416,0.008743284235790617,0.0037939475641152634,0.008089172534760929,0.003880878056725543,0.007062676969547823,0.002470693310681716,0.006309339529491421,0.0017973668482891341,0.00596045211669867,0.0012479060327515534,0.006339938336602379,0.0008758930533942856,0.006729982225199605,0.0006531345677585224,0.006535567312404976,0.0005355119323171364,0.005980958341550293,0.00045046332637217225,0.005186510046069003,0.0003834778653606499,0.004317558179331811,0.00033166659790281373,0.003497989966015103,0.0002966728838479478,0.0027981733174487315,0.0002852480358584619,0.002238683718699881,0.00029053332982267963,0.001814829933740864,0.0002943607436543828,0.0014975937146403002,0.0002900691684571825,0.0012578561321191445
60499382,3929969,WY,MCID,EHZ,01,44.7535,-111.0896667,63.01617148989923,6.71059346842182,11.45,1.5331548972383583e-05,-0.009014591351968384,0.007974606801033342,0.00040625903825571176,-0.05402086640250975,0.07406070434089097,3.0,0.00056680671934063,8.0,0.0013089196062847385,l,0.37,0.00037199463312408143,0.000994957104202938,0.0007642840730933113,0.007264240461244492,0.001117941149505663,0.006824530427007181,0.0005697021768557899,0.004438006668914451,0.00030707410809103857,0.0037593481904249094,0.00025556560163260763,0.004291355241146347,0.000205071746755361,0.005364555690781939,0.0002471115301275666,0.005681475252265516,0.0002918495723458763,0.005232565932963181,0.0003024767263877268,0.004401087630750439,0.0002776500489799843,0.003546317865825716,0.00023598684314251478,0.0027993649969412235,0.0001919355460769076,0.0021843370085271835,0.0001526465886133169,0.0016958206053001136,0.00012046746865692376,0.001315138466740104,9.533664929316395e-05,0.001023014042918349,7.626563024735475e-05,0.0008007575976407805,6.187522097745149e-05,0.0006320783070051369
60499717,3933179,WY,YHH,EHZ,01,44.8083333,-111.0161667,13.295183861017707,279.68328115301443,8.4,8.827124657756343e-06,-0.007861029863635207,0.005929471882991998,0.011285774419991682,-0.287433265246382,0.34329754268482987,3.0,0.001571673415152165,8.0,0.006674696287214841,l,0.75,0.0008078468560444101,0.006111192001265892,0.001541697644710134,0.01870524465260354,0.0016353014031958081,0.026840497178149538,0.0010729532392804197,0.031135628901803238,0.0007488614461281505,0.03230758076231886,0.0005611656794322155,0.030662565265463175,0.00037700894198944756,0.029684318818300144,0.0002790331090459533,0.030029967284003683,0.0002089082711945965,0.027448414852375275,0.0001540439075210524,0.023198190622622454,0.00012531287565721916,0.018923217951669537,0.00011114200639005786,0.015225517332041937,0.00010632689925024705,0.012246118471548544,0.00010969116895819077,0.009887211008432113,0.00011833345398224593,0.007970022549731927,0.00012872573970433798,0.006413467687358447,0.0001354308535529597,0.005162602711145993,0.000135932894389178,0.004165076275841749
